Año,Trimestre,Provincia,Banda ancha fija,Dial up
2024,1,Buenos Aires,5038657,5900.0
2024,1,Capital Federal,1502661,2050.0
2024,1,Catamarca,74932,1.0
2024,1,Chaco,155538,5.0
2024,1,Chubut,169819,857.0
2024,1,Córdoba,1082136,63.0
2024,1,Corrientes,157891,3.0
2024,1,Entre Ríos,296532,20.0
2024,1,Formosa,62718,0.0
2024,1,Jujuy,118053,0.0
2024,1,La Pampa,122033,162.0
2024,1,La Rioja,87778,4.0
2024,1,Mendoza,301867,730.0
2024,1,Misiones,202556,0.0
2024,1,Neuquén,163807,439.0
2024,1,Río Negro,170504,515.0
2024,1,Salta,202856,5.0
2024,1,San Juan,106419,247.0
2024,1,San Luis,155925,165.0
2024,1,Santa Cruz,80021,187.0
2024,1,Santa Fe,918482,106.0
2024,1,Santiago Del Estero,124360,2.0
2024,1,Tierra Del Fuego,61250,305.0
2024,1,Tucumán,264568,27.0
2023,4,Buenos Aires,5005720,5900.0
2023,4,Capital Federal,1472317,2050.0
2023,4,Catamarca,74586,1.0
2023,4,Chaco,147381,5.0
2023,4,Chubut,169313,857.0
2023,4,Córdoba,1079239,63.0
2023,4,Corrientes,159469,3.0
2023,4,Entre Ríos,298617,20.0
2023,4,Formosa,62002,0.0
2023,4,Jujuy,118020,0.0
2023,4,La Pampa,121164,162.0
2023,4,La Rioja,87717,4.0
2023,4,Mendoza,298621,730.0
2023,4,Misiones,200333,0.0
2023,4,Neuquén,164188,439.0
2023,4,Río Negro,167902,515.0
2023,4,Salta,204727,5.0
2023,4,San Juan,102963,247.0
2023,4,San Luis,154520,165.0
2023,4,Santa Cruz,86844,187.0
2023,4,Santa Fe,909395,106.0
2023,4,Santiago Del Estero,123228,2.0
2023,4,Tierra Del Fuego,61294,305.0
2023,4,Tucumán,266308,27.0
2023,3,Buenos Aires,4962337,5900.0
2023,3,Capital Federal,1465934,2050.0
2023,3,Catamarca,74354,1.0
2023,3,Chaco,142141,5.0
2023,3,Chubut,167211,857.0
2023,3,Córdoba,1069271,63.0
2023,3,Corrientes,159826,3.0
2023,3,Entre Ríos,293273,20.0
2023,3,Formosa,61314,0.0
2023,3,Jujuy,117377,0.0
2023,3,La Pampa,119759,162.0
2023,3,La Rioja,87697,4.0
2023,3,Mendoza,297292,730.0
2023,3,Misiones,197135,0.0
2023,3,Neuquén,163834,439.0
2023,3,Río Negro,162970,515.0
2023,3,Salta,206228,5.0
2023,3,San Juan,103483,247.0
2023,3,San Luis,148751,165.0
2023,3,Santa Cruz,47800,187.0
2023,3,Santa Fe,900246,106.0
2023,3,Santiago Del Estero,121926,2.0
2023,3,Tierra Del Fuego,58426,305.0
2023,3,Tucumán,266530,27.0
2023,2,Buenos Aires,4879442,6046.0
2023,2,Capital Federal,1455578,2100.0
2023,2,Catamarca,72989,1.0
