,Año,Trimestre,Provincia,Accesos por cada 100 hogares,acceso_actual,nuevo_acceso,KPI
960,2014,1,Buenos Aires,54.57007287943976,54.57007287943976,55.06141695143392,0.9
936,2014,2,Buenos Aires,55.06141695143392,55.06141695143392,56.75473916407103,3.08
912,2014,3,Buenos Aires,56.75473916407103,56.75473916407103,56.09433653019754,-1.16
888,2014,4,Buenos Aires,56.09433653019754,56.09433653019754,56.37048433026737,0.49
864,2015,1,Buenos Aires,56.37048433026737,56.37048433026737,56.80280561439208,0.77
840,2015,2,Buenos Aires,56.80280561439208,56.80280561439208,57.68868105608009,1.56
816,2015,3,Buenos Aires,57.68868105608009,57.68868105608009,58.29182182733718,1.05
792,2015,4,Buenos Aires,58.29182182733718,58.29182182733718,57.33590782254113,-1.64
768,2016,1,Buenos Aires,57.33590782254113,57.33590782254113,59.33852679105808,3.49
744,2016,2,Buenos Aires,59.33852679105808,59.33852679105808,60.14329545468815,1.36
720,2016,3,Buenos Aires,60.14329545468815,60.14329545468815,61.236587430356856,1.82
696,2016,4,Buenos Aires,61.236587430356856,61.236587430356856,58.57400244920328,-4.35
672,2017,1,Buenos Aires,58.57400244920328,58.57400244920328,56.27214416169132,-3.93
648,2017,2,Buenos Aires,56.27214416169132,56.27214416169132,55.62938339533962,-1.14
624,2017,3,Buenos Aires,55.62938339533962,55.62938339533962,57.609615290258205,3.56
600,2017,4,Buenos Aires,57.609615290258205,57.609615290258205,62.62621166168454,8.71
576,2018,1,Buenos Aires,62.62621166168454,62.62621166168454,62.78226651094991,0.25
552,2018,2,Buenos Aires,62.78226651094991,62.78226651094991,64.44056759752046,2.64
528,2018,3,Buenos Aires,64.44056759752046,64.44056759752046,64.60284663484316,0.25
504,2018,4,Buenos Aires,64.60284663484316,64.60284663484316,66.24255522736811,2.54
480,2019,1,Buenos Aires,66.24255522736811,66.24255522736811,67.84713982374198,2.42
456,2019,2,Buenos Aires,67.84713982374198,67.84713982374198,69.35630106079125,2.22
432,2019,3,Buenos Aires,69.35630106079125,69.35630106079125,64.25205288245421,-7.36
408,2019,4,Buenos Aires,64.25205288245421,64.25205288245421,64.32563101743429,0.11
384,2020,1,Buenos Aires,64.32563101743429,64.32563101743429,65.2205801358229,1.39
360,2020,2,Buenos Aires,65.2205801358229,65.2205801358229,67.65618983090923,3.73
336,2020,3,Buenos Aires,67.65618983090923,67.65618983090923,68.97702220170737,1.95
312,2020,4,Buenos Aires,68.97702220170737,68.97702220170737,69.10524076185938,0.19
288,2021,1,Buenos Aires,69.10524076185938,69.10524076185938,70.00330336027972,1.3
264,2021,2,Buenos Aires,70.00330336027972,70.00330336027972,71.68218940101933,2.4
240,2021,3,Buenos Aires,71.68218940101933,71.68218940101933,75.66410602338475,5.55
216,2021,4,Buenos Aires,75.66410602338475,75.66410602338475,76.07814661157262,0.55
192,2022,1,Buenos Aires,76.07814661157262,76.07814661157262,77.58,1.97
168,2022,2,Buenos Aires,77.58,77.58,78.11,0.68
144,2022,3,Buenos Aires,78.11,78.11,78.94,1.06
120,2022,4,Buenos Aires,78.94,78.94,79.0,0.08
96,2023,1,Buenos Aires,79.0,79.0,79.67,0.85
72,2023,2,Buenos Aires,79.67,79.67,80.64,1.22
48,2023,3,Buenos Aires,80.64,80.64,80.96,0.4
24,2023,4,Buenos Aires,80.96,80.96,81.1,0.17
961,2014,1,Capital Federal,112.25412278926912,112.25412278926912,113.1433524754098,0.79
937,2014,2,Capital Federal,113.1433524754098,113.1433524754098,113.8005123324155,0.58
913,2014,3,Capital Federal,113.8005123324155,113.8005123324155,114.89676550801624,0.96
889,2014,4,Capital Federal,114.89676550801624,114.89676550801624,114.89699714890288,0.0
865,2015,1,Capital Federal,114.89699714890288,114.89699714890288,116.06627091860372,1.02
841,2015,2,Capital Federal,116.06627091860372,116.06627091860372,118.2892111643196,1.92
817,2015,3,Capital Federal,118.2892111643196,118.2892111643196,118.13036321153808,-0.13
793,2015,4,Capital Federal,118.13036321153808,118.13036321153808,115.16005888884816,-2.51
769,2016,1,Capital Federal,115.16005888884816,115.16005888884816,120.03953504825309,4.24
745,2016,2,Capital Federal,120.03953504825309,120.03953504825309,120.77287775101534,0.61
721,2016,3,Capital Federal,120.77287775101534,120.77287775101534,120.63133173632356,-0.12
697,2016,4,Capital Federal,120.63133173632356,120.63133173632356,108.36920836560806,-10.16
673,2017,1,Capital Federal,108.36920836560806,108.36920836560806,124.06139375642525,14.48
649,2017,2,Capital Federal,124.06139375642525,124.06139375642525,121.85832590969336,-1.78
625,2017,3,Capital Federal,121.85832590969336,121.85832590969336,122.89742418734993,0.85
601,2017,4,Capital Federal,122.89742418734993,122.89742418734993,106.23567174586836,-13.56
577,2018,1,Capital Federal,106.23567174586836,106.23567174586836,106.53494128146691,0.28
553,2018,2,Capital Federal,106.53494128146691,106.53494128146691,108.44591411021922,1.79
529,2018,3,Capital Federal,108.44591411021922,108.44591411021922,108.27314997057414,-0.16
505,2018,4,Capital Federal,108.27314997057414,108.27314997057414,109.19616455883845,0.85
481,2019,1,Capital Federal,109.19616455883845,109.19616455883845,110.54556699485232,1.24
457,2019,2,Capital Federal,110.54556699485232,110.54556699485232,112.6453878037209,1.9
433,2019,3,Capital Federal,112.6453878037209,112.6453878037209,106.24546751041056,-5.68
409,2019,4,Capital Federal,106.24546751041056,106.24546751041056,105.98017414181908,-0.25
385,2020,1,Capital Federal,105.98017414181908,105.98017414181908,106.41480599073644,0.41
361,2020,2,Capital Federal,106.41480599073644,106.41480599073644,107.6759011657323,1.19
337,2020,3,Capital Federal,107.6759011657323,107.6759011657323,108.31107489043508,0.59
313,2020,4,Capital Federal,108.31107489043508,108.31107489043508,108.4199392232935,0.1
289,2021,1,Capital Federal,108.4199392232935,108.4199392232935,110.14440203212098,1.59
265,2021,2,Capital Federal,110.14440203212098,110.14440203212098,111.27105514250894,1.02
241,2021,3,Capital Federal,111.27105514250894,111.27105514250894,111.27002612891737,-0.0
217,2021,4,Capital Federal,111.27002612891737,111.27002612891737,111.79786269174652,0.47
193,2022,1,Capital Federal,111.79786269174652,111.79786269174652,121.31,8.51
169,2022,2,Capital Federal,121.31,121.31,122.28,0.8
145,2022,3,Capital Federal,122.28,122.28,122.73,0.37
121,2022,4,Capital Federal,122.73,122.73,122.59,-0.11
97,2023,1,Capital Federal,122.59,122.59,115.48,-5.8
73,2023,2,Capital Federal,115.48,115.48,116.4,0.8
49,2023,3,Capital Federal,116.4,116.4,117.02,0.53
25,2023,4,Capital Federal,117.02,117.02,119.53,2.14
962,2014,1,Catamarca,24.251751254585557,24.251751254585557,24.703118860058403,1.86
938,2014,2,Catamarca,24.703118860058403,24.703118860058403,24.706121305327624,0.01
914,2014,3,Catamarca,24.706121305327624,24.706121305327624,25.513779082748,3.27
890,2014,4,Catamarca,25.513779082748,25.513779082748,25.10946633078758,-1.58
866,2015,1,Catamarca,25.10946633078758,25.10946633078758,25.45341804469818,1.37
842,2015,2,Catamarca,25.45341804469818,25.45341804469818,25.863781184637624,1.61
818,2015,3,Catamarca,25.863781184637624,25.863781184637624,26.23945178859185,1.45
794,2015,4,Catamarca,26.23945178859185,26.23945178859185,25.910217981190534,-1.25
770,2016,1,Catamarca,25.910217981190534,25.910217981190534,26.07418805974065,0.63
746,2016,2,Catamarca,26.07418805974065,26.07418805974065,26.48067675746367,1.56
722,2016,3,Catamarca,26.48067675746367,26.48067675746367,26.543515589961917,0.24
698,2016,4,Catamarca,26.543515589961917,26.543515589961917,25.659350838021503,-3.33
674,2017,1,Catamarca,25.659350838021503,25.659350838021503,25.97712106768351,1.24
650,2017,2,Catamarca,25.97712106768351,25.97712106768351,32.49092567790524,25.08
626,2017,3,Catamarca,32.49092567790524,32.49092567790524,28.620950093924897,-11.91
602,2017,4,Catamarca,28.620950093924897,28.620950093924897,32.79361613741535,14.58
578,2018,1,Catamarca,32.79361613741535,32.79361613741535,32.8575008674866,0.19
554,2018,2,Catamarca,32.8575008674866,32.8575008674866,32.91594537411041,0.18
530,2018,3,Catamarca,32.91594537411041,32.91594537411041,32.225346166025346,-2.1
506,2018,4,Catamarca,32.225346166025346,32.225346166025346,32.190488956121285,-0.11
482,2019,1,Catamarca,32.190488956121285,32.190488956121285,32.13095022019278,-0.18
458,2019,2,Catamarca,32.13095022019278,32.13095022019278,30.883614526737205,-3.88
434,2019,3,Catamarca,30.883614526737205,30.883614526737205,36.43842912715547,17.99
410,2019,4,Catamarca,36.43842912715547,36.43842912715547,37.615427687460254,3.23
386,2020,1,Catamarca,37.615427687460254,37.615427687460254,45.43181818181818,20.78
362,2020,2,Catamarca,45.43181818181818,45.43181818181818,47.15709898417198,3.8
338,2020,3,Catamarca,47.15709898417198,47.15709898417198,49.40688354549741,4.77
314,2020,4,Catamarca,49.40688354549741,49.40688354549741,48.89909292784824,-1.03
290,2021,1,Catamarca,48.89909292784824,48.89909292784824,52.34030966263861,7.04
266,2021,2,Catamarca,52.34030966263861,52.34030966263861,52.70979348600128,0.71
242,2021,3,Catamarca,52.70979348600128,52.70979348600128,55.2526999859741,4.82
218,2021,4,Catamarca,55.2526999859741,55.2526999859741,58.20635083561171,5.35
194,2022,1,Catamarca,58.20635083561171,58.20635083561171,62.4,7.2
170,2022,2,Catamarca,62.4,62.4,65.33,4.7
146,2022,3,Catamarca,65.33,65.33,65.77,0.67
122,2022,4,Catamarca,65.77,65.77,66.17,0.61
98,2023,1,Catamarca,66.17,66.17,67.42,1.89
74,2023,2,Catamarca,67.42,67.42,68.55,1.68
50,2023,3,Catamarca,68.55,68.55,68.63,0.12
26,2023,4,Catamarca,68.63,68.63,68.82,0.28
963,2014,1,Chaco,20.71853886384081,20.71853886384081,20.95799636749445,1.16
939,2014,2,Chaco,20.95799636749445,20.95799636749445,21.112666705262427,0.74
915,2014,3,Chaco,21.112666705262427,21.112666705262427,21.87078320023224,3.59
891,2014,4,Chaco,21.87078320023224,21.87078320023224,26.649591220305552,21.85
867,2015,1,Chaco,26.649591220305552,26.649591220305552,27.46453938839946,3.06
843,2015,2,Chaco,27.46453938839946,27.46453938839946,27.96307279347941,1.82
819,2015,3,Chaco,27.96307279347941,27.96307279347941,28.35056623514143,1.39
795,2015,4,Chaco,28.35056623514143,28.35056623514143,28.07514644775236,-0.97
771,2016,1,Chaco,28.07514644775236,28.07514644775236,28.5935505552226,1.85
747,2016,2,Chaco,28.5935505552226,28.5935505552226,28.910749068480957,1.11
723,2016,3,Chaco,28.910749068480957,28.910749068480957,28.786656085255263,-0.43
699,2016,4,Chaco,28.786656085255263,28.786656085255263,28.62166053842791,-0.57
675,2017,1,Chaco,28.62166053842791,28.62166053842791,29.045524775453423,1.48
651,2017,2,Chaco,29.045524775453423,29.045524775453423,29.975925647657625,3.2
627,2017,3,Chaco,29.975925647657625,29.975925647657625,30.808158111236537,2.78
603,2017,4,Chaco,30.808158111236537,30.808158111236537,30.829927645702472,0.07
579,2018,1,Chaco,30.829927645702472,30.829927645702472,31.25170499603489,1.37
555,2018,2,Chaco,31.25170499603489,31.25170499603489,32.283100833077576,3.3
531,2018,3,Chaco,32.283100833077576,32.283100833077576,32.59096087632982,0.95
507,2018,4,Chaco,32.59096087632982,32.59096087632982,32.635876579429485,0.14
483,2019,1,Chaco,32.635876579429485,32.635876579429485,34.14026097986763,4.61
459,2019,2,Chaco,34.14026097986763,34.14026097986763,35.8460309754608,5.0
435,2019,3,Chaco,35.8460309754608,35.8460309754608,36.835478630342415,2.76
411,2019,4,Chaco,36.835478630342415,36.835478630342415,37.483833369172615,1.76
387,2020,1,Chaco,37.483833369172615,37.483833369172615,39.83250279006581,6.27
363,2020,2,Chaco,39.83250279006581,39.83250279006581,41.54192057806515,4.29
339,2020,3,Chaco,41.54192057806515,41.54192057806515,43.03078864977911,3.58
315,2020,4,Chaco,43.03078864977911,43.03078864977911,43.13649241708794,0.25
291,2021,1,Chaco,43.13649241708794,43.13649241708794,43.32762729293539,0.44
267,2021,2,Chaco,43.32762729293539,43.32762729293539,42.96241007967663,-0.84
243,2021,3,Chaco,42.96241007967663,42.96241007967663,44.04856389025934,2.53
219,2021,4,Chaco,44.04856389025934,44.04856389025934,44.05948009941883,0.02
195,2022,1,Chaco,44.05948009941883,44.05948009941883,43.79,-0.61
171,2022,2,Chaco,43.79,43.79,43.86,0.16
147,2022,3,Chaco,43.86,43.86,43.62,-0.55
123,2022,4,Chaco,43.62,43.62,43.15,-1.08
99,2023,1,Chaco,43.15,43.15,42.87,-0.65
75,2023,2,Chaco,42.87,42.87,42.87,0.0
51,2023,3,Chaco,42.87,42.87,44.35,3.45
27,2023,4,Chaco,44.35,44.35,46.7,5.3
964,2014,1,Chubut,41.23521807972435,41.23521807972435,41.41020981991258,0.42
940,2014,2,Chubut,41.41020981991258,41.41020981991258,40.59867094427454,-1.96
916,2014,3,Chubut,40.59867094427454,40.59867094427454,40.24927468450274,-0.86
892,2014,4,Chubut,40.24927468450274,40.24927468450274,37.61278068590792,-6.55
868,2015,1,Chubut,37.61278068590792,37.61278068590792,36.58246720458481,-2.74
844,2015,2,Chubut,36.58246720458481,36.58246720458481,36.81180991463324,0.63
820,2015,3,Chubut,36.81180991463324,36.81180991463324,36.89017827786587,0.21
796,2015,4,Chubut,36.89017827786587,36.89017827786587,36.0927055378499,-2.16
772,2016,1,Chubut,36.0927055378499,36.0927055378499,36.12438565556337,0.09
748,2016,2,Chubut,36.12438565556337,36.12438565556337,36.17869442878647,0.15
724,2016,3,Chubut,36.17869442878647,36.17869442878647,36.07290546427898,-0.29
700,2016,4,Chubut,36.07290546427898,36.07290546427898,35.662220237763016,-1.14
676,2017,1,Chubut,35.662220237763016,35.662220237763016,35.54601117914412,-0.33
652,2017,2,Chubut,35.54601117914412,35.54601117914412,46.21537746651841,30.02
628,2017,3,Chubut,46.21537746651841,46.21537746651841,51.46309626749354,11.35
604,2017,4,Chubut,51.46309626749354,51.46309626749354,53.71560488248906,4.38
580,2018,1,Chubut,53.71560488248906,53.71560488248906,54.90230333735512,2.21
556,2018,2,Chubut,54.90230333735512,54.90230333735512,56.39174585226903,2.71
