Año,Trimestre,Provincia,Mbps (Media de bajada),Mbps Anterior,Tasa Crecimiento (%),Tasa de Crecimiento Nacional
2014,2,Buenos Aires,3.851862760043666,3.7331327999829305,3.1804376222908095,
2014,3,Buenos Aires,3.969046991173242,3.851862760043666,3.042274308034989,1.4460894989660875
2014,4,Buenos Aires,4.198943508236657,3.969046991173242,5.79223469953069,7.521960205964795
2015,1,Buenos Aires,4.323803709346771,4.198943508236657,2.9736099298594576,
2015,2,Buenos Aires,4.463495663548014,4.323803709346771,3.2307653999017165,4.155101136979908
2015,3,Buenos Aires,4.700597914270459,4.463495663548014,5.312030493471414,4.288346523025755
2015,4,Buenos Aires,4.884148905856541,4.700597914270459,3.9048434887154024,4.050179325947438
2016,1,Buenos Aires,4.9921684374839135,4.884148905856541,2.2116346923380568,
2016,2,Buenos Aires,5.415144367004824,4.9921684374839135,8.472789626747709,3.739131486651722
2016,3,Buenos Aires,5.914918008163684,5.415144367004824,9.229184067631623,6.436662227260549
2016,4,Buenos Aires,6.3515464502603125,5.914918008163684,7.381817321795505,4.256204195940437
2017,1,Buenos Aires,6.678482577091709,6.3515464502603125,5.147346860983716,
2017,2,Buenos Aires,7.198747751887984,6.678482577091709,7.790170428547189,4.873665540955408
2017,3,Buenos Aires,8.425706211853651,7.198747751887984,17.044054080709774,9.374415462028418
2017,4,Buenos Aires,12.9720825438982,8.425706211853651,53.95840084773557,39.68830573502551
2018,1,Buenos Aires,14.198889644680946,12.9720825438982,9.457287190635489,
2018,2,Buenos Aires,14.679375512175804,14.198889644680946,3.383967898326846,2.5246675897889332
2018,3,Buenos Aires,16.77973513236217,14.679375512175804,14.308235513453708,8.324331698442114
2018,4,Buenos Aires,16.934363010150058,16.77973513236217,0.9215156053903722,5.580367094907888
2019,1,Buenos Aires,19.643958224230506,16.934363010150058,16.000573581990537,
2019,2,Buenos Aires,22.480046018557395,19.643958224230506,14.437455842420906,18.259854430743484
2019,3,Buenos Aires,25.679380143834067,22.480046018557395,14.231884234736905,16.888360796658546
2019,4,Buenos Aires,30.769694141005864,25.679380143834067,19.82257347591797,18.884175455077578
2020,1,Buenos Aires,45.18128807375552,30.769694141005864,46.83697493613935,
2020,2,Buenos Aires,45.66197363212277,45.18128807375552,1.063904060421137,6.276316256840573
2020,3,Buenos Aires,48.37662390811511,45.66197363212277,5.9451006166816285,7.858649402260917
2020,4,Buenos Aires,50.00838083963576,48.37662390811511,3.373027714004926,4.8531219884997805
2021,1,Buenos Aires,50.78565608506508,50.00838083963576,1.554289965759621,
2021,2,Buenos Aires,52.75542937003713,50.78565608506508,3.878601630493291,11.610982484911398
2021,3,Buenos Aires,56.25755092469591,52.75542937003713,6.638409726692214,5.347604194672346
2021,4,Buenos Aires,60.2091238315554,56.25755092469591,7.02407559857859,9.657630996904675
2022,1,Buenos Aires,62.51,60.2091238315554,3.821474258422466,
2022,2,Buenos Aires,65.5,62.51,4.783234682450812,7.445952921123078
2022,3,Buenos Aires,70.19,65.5,7.160305343511447,6.3322533795106635
2022,4,Buenos Aires,111.0,70.19,58.14218549650948,72.73424530878985
2023,1,Buenos Aires,116.18,111.0,4.666666666666673,
2023,2,Buenos Aires,138.35,116.18,19.082458254432765,6.70950615695859
2023,3,Buenos Aires,146.84,138.35,6.136610046982298,3.3764198552336637
2023,4,Buenos Aires,158.49,146.84,7.9338055025878536,8.394332752049946
2024,1,Buenos Aires,159.13,158.49,0.4038109659915366,
2014,2,Capital Federal,4.249991223638481,4.024081510870217,5.613944751318175,
2014,3,Capital Federal,4.437380943390075,4.249991223638481,4.409178981578385,1.4460894989660875
2014,4,Capital Federal,4.7817877112755625,4.437380943390075,7.7614875143527255,7.521960205964795
2015,1,Capital Federal,4.999711683876372,4.7817877112755625,4.557374474967593,
2015,2,Capital Federal,5.31214873823781,4.999711683876372,6.249101430568886,4.155101136979908
2015,3,Capital Federal,5.66468043459464,5.31214873823781,6.636329548140149,4.288346523025755
2015,4,Capital Federal,5.927803522979041,5.66468043459464,4.644976736507295,4.050179325947438
2016,1,Capital Federal,6.047403702811701,5.927803522979041,2.017613764846148,
2016,2,Capital Federal,6.576218932459292,6.047403702811701,8.744500212574222,3.739131486651722
2016,3,Capital Federal,7.380172699207805,6.576218932459292,12.225167303666105,6.436662227260549
2016,4,Capital Federal,7.957596242752894,7.380172699207805,7.823984167837558,4.256204195940437
2017,1,Capital Federal,8.348147316695423,7.957596242752894,4.907902613156702,
2017,2,Capital Federal,8.843219830788254,8.348147316695423,5.930327955554134,4.873665540955408
2017,3,Capital Federal,10.635720274073307,8.843219830788254,20.269771390781724,9.374415462028418
2017,4,Capital Federal,15.20221886916041,10.635720274073307,42.93548981556853,39.68830573502551
2018,1,Capital Federal,17.74557730418008,15.20221886916041,16.730179041029267,
2018,2,Capital Federal,18.93813458927817,17.74557730418008,6.720307063874308,2.5246675897889332
2018,3,Capital Federal,21.643368364061413,18.93813458927817,14.284584165511266,8.324331698442114
2018,4,Capital Federal,22.93530199223472,21.643368364061413,5.969189298272767,5.580367094907888
2019,1,Capital Federal,24.715063293849774,22.93530199223472,7.75992093854981,
2019,2,Capital Federal,30.346259857091997,24.715063293849774,22.784471543892508,18.259854430743484
2019,3,Capital Federal,38.71410056071139,30.346259857091997,27.574537168750318,16.888360796658546
2019,4,Capital Federal,44.20317867008588,38.71410056071139,14.17849835040474,18.884175455077578
2020,1,Capital Federal,58.70568296242247,44.20317867008588,32.80873622364862,
2020,2,Capital Federal,60.4844973584038,58.70568296242247,3.030054853667145,6.276316256840573
2020,3,Capital Federal,63.80852025607172,60.4844973584038,5.495660942623472,7.858649402260917
2020,4,Capital Federal,67.32513676879374,63.80852025607172,5.51120210688069,4.8531219884997805
2021,1,Capital Federal,68.29026886796898,67.32513676879374,1.4335390100872243,
2021,2,Capital Federal,72.74675003231476,68.29026886796898,6.525792383336284,11.610982484911398
2021,3,Capital Federal,77.71207106907312,72.74675003231476,6.8254884713787405,5.347604194672346
2021,4,Capital Federal,82.94995496542248,77.71207106907312,6.740116206263183,9.657630996904675
2022,1,Capital Federal,88.22,82.94995496542248,6.353282574745614,
2022,2,Capital Federal,93.97,88.22,6.517796418045794,7.445952921123078
2022,3,Capital Federal,101.05,93.97,7.534319463658614,6.3322533795106635
2022,4,Capital Federal,182.86,101.05,80.95992083127167,72.73424530878985
2023,1,Capital Federal,188.65,182.86,3.1663567756753754,
2023,2,Capital Federal,208.01,188.65,10.262390670553929,6.70950615695859
2023,3,Capital Federal,218.13,208.01,4.865150713907988,3.3764198552336637
2023,4,Capital Federal,234.44,218.13,7.4771924998853905,8.394332752049946
2024,1,Capital Federal,229.94,234.44,-1.9194676676335096,
2014,2,Catamarca,2.915358424826804,2.8027344007923407,4.018362353658057,
2014,3,Catamarca,2.915176175040519,2.915358424826804,-0.0062513680902031386,1.4460894989660875
2014,4,Catamarca,3.336005334797788,2.915176175040519,14.435805402101277,7.521960205964795
2015,1,Catamarca,3.483603660962992,3.336005334797788,4.424403181422093,
2015,2,Catamarca,3.6825082950385535,3.483603660962992,5.709737772539178,4.155101136979908
2015,3,Catamarca,3.884563872599747,3.6825082950385535,5.486900812509324,4.288346523025755
2015,4,Catamarca,4.124268369158702,3.884563872599747,6.170692629093832,4.050179325947438
2016,1,Catamarca,4.203588449295134,4.124268369158702,1.9232521513291567,
2016,2,Catamarca,4.3648359645166135,4.203588449295134,3.8359491459854373,3.739131486651722
2016,3,Catamarca,4.725241179958494,4.3648359645166135,8.257016262964964,6.436662227260549
2016,4,Catamarca,4.885711305119858,4.725241179958494,3.3960197807887047,4.256204195940437
2017,1,Catamarca,4.973784837545127,4.885711305119858,1.8026757400293871,
2017,2,Catamarca,5.102182825899711,4.973784837545127,2.581494627297889,4.873665540955408
2017,3,Catamarca,5.260018066713561,5.102182825899711,3.093484616283183,9.374415462028418
2017,4,Catamarca,7.78415435139573,5.260018066713561,47.98721701462214,39.68830573502551
2018,1,Catamarca,8.198860528714677,7.78415435139573,5.327568783943607,
2018,2,Catamarca,7.693096507452943,8.198860528714677,-6.168711121385812,2.5246675897889332
2018,3,Catamarca,7.806521941530631,7.693096507452943,1.4743794513406043,8.324331698442114
2018,4,Catamarca,8.043920202659912,7.806521941530631,3.041024708664737,5.580367094907888
2019,1,Catamarca,7.964005155271879,8.043920202659912,-0.9934838408964699,
2019,2,Catamarca,8.81,7.964005155271879,10.622731003232762,18.259854430743484
2019,3,Catamarca,9.293407429459826,8.81,5.48703098138281,16.888360796658546
